,CodigoParlamentar,CodigoMateria,interesse,justificativa_interesse
30975,6304.0,152791,6,Relatou a matéria há menos de 3 anos em CRE
30976,6304.0,152939,8,Discursou sobre a matéria (Discurso) há menos de 3 anos - Discursou sobre a matéria (Discussão) há menos de 3 anos
30977,6304.0,153341,6,Autor de emenda há menos de 3 anos
30978,6304.0,153518,0,Co-autor de PEC
30979,6304.0,153531,0,Co-autor de PEC
30980,6304.0,153880,6,Relatou a matéria há menos de 3 anos em CRE
30981,6304.0,153994,-5,Foi relator mas houve redistribuição da relatoria em CCDD
30982,6304.0,153998,-5,Foi relator mas houve redistribuição da relatoria em CCDD
30983,6304.0,154006,-5,Foi relator mas houve redistribuição da relatoria em CCDD
30984,6304.0,154041,4,Foi designado como relator mas a matéria foi prejudicada em PLEN - Discursou sobre a matéria (Discurso) há menos de 3 anos
30985,6304.0,154201,0,Co-autor de PEC
30986,6304.0,154313,8,Discursou sobre a matéria (Discurso) há menos de 3 anos - Discursou sobre a matéria (Discussão) há menos de 3 anos
30987,6304.0,154376,4,Relator atual designado há menos de 1 ano em CMA
30988,6304.0,154407,27,Relatou a matéria há menos de 1 ano em PLEN - Relatou a matéria há menos de 1 ano em CCJ - Relatou a matéria há menos de 1 ano em CAE - Discursou sobre a matéria (Pela ordem) há menos de 1 ano
30989,6304.0,154473,22,Autor principal da matéria há menos de 3 anos - Discursou sobre a matéria (Discurso) há menos de 3 anos - Discursou sobre a matéria (Discurso) há menos de 1 ano - Discursou sobre a matéria (Pela ordem) há menos de 1 ano
30990,6304.0,154622,16,Autor principal da matéria há menos de 3 anos - Discursou sobre a matéria (Discurso) há menos de 3 anos - Discursou sobre a matéria (Pela ordem) há menos de 1 ano
30991,6304.0,154642,16,Autor principal da matéria há menos de 3 anos - Discursou sobre a matéria (Discurso) há menos de 3 anos - Discursou sobre a matéria (Pela ordem) há menos de 1 ano
30992,6304.0,154687,-5,Foi relator mas houve redistribuição da relatoria em CCDD
30993,6304.0,154726,10,Autor principal da matéria há menos de 3 anos - Discursou sobre a matéria (Discurso) há menos de 3 anos
30994,6304.0,154786,0,Co-autor de PEC
30995,6304.0,154789,7,Relatou a matéria há menos de 1 ano em CMA
30996,6304.0,154956,-5,Foi relator mas houve redistribuição da relatoria em CCDD
30997,6304.0,154960,-5,Foi relator mas houve redistribuição da relatoria em CCDD
30998,6304.0,155575,7,Autor de emenda há menos de 1 ano
30999,6304.0,155580,6,Discursou sobre a matéria (Discussão) há menos de 1 ano
31000,6304.0,155893,6,Discursou sobre a matéria (Discurso) há menos de 1 ano
31001,6304.0,156064,7,Relatou a matéria há menos de 1 ano em CRE
31002,6304.0,156167,6,Discursou sobre a matéria (Discussão) há menos de 1 ano
31003,6304.0,156265,6,Discursou sobre a matéria (Pela ordem) há menos de 1 ano
31004,6304.0,156273,0,Co-autor de PEC
31005,6304.0,156391,0,Co-autor de PEC
31006,6304.0,156424,0,Co-autor de PEC
31007,6304.0,156476,6,Discursou sobre a matéria (Discurso) há menos de 1 ano
31008,6304.0,156571,0,Co-autor de PEC
31009,6304.0,156578,-5,Foi relator mas houve redistribuição da relatoria em CCDD
31010,6304.0,156580,0,Co-autor de PEC
31011,6304.0,156581,0,Co-autor de PEC
31012,6304.0,156611,6,Discursou sobre a matéria (Pela ordem) há menos de 1 ano
31013,6304.0,156621,-5,Foi relator mas houve redistribuição da relatoria em CCDD
31014,6304.0,156622,-5,Foi relator mas houve redistribuição da relatoria em CCDD
31015,6304.0,156888,13,Autor principal da matéria há menos de 1 ano - Discursou sobre a matéria (Pela ordem) há menos de 1 ano
31016,6304.0,156918,-5,Foi relator mas houve redistribuição da relatoria em CRA
31017,6304.0,157134,0,Co-autor de PEC
31018,6304.0,157146,0,Co-autor de PEC
31019,6304.0,157153,0,Co-autor de PEC
